0,,Артикул,Наименование,"РРЦ Wildberries, руб","РРЦ, руб","Кол-во в упаковке, шт","Вес, кг","Объем, м3",Штрихкод
167,,PSB16-C,"Дрель ударная PSB16-C P.I.T. (1050Вт, ключевой патрон 16мм, 0-900/0-2500 об/мин)",7480,6990,4,4,0.009,6971810444992
168,,PSB13-C8,"Дрель ударная PSB13-C8 P.I.T. (950Вт, мет. корпус редуктора, 0-3000 об/мин, ключевой патрон 13мм)",3960,3700,5,2.6,0.007,6971810444954
169,,PSB13-C7,"Дрель ударная PSB13-C7 P.I.T. (850Вт, ключевой патрон 13мм, 0-3000 об/мин)",3190,2980,5,2.4,0.007,6971810444541
170,,,Лобзики,,,,,,
171,,PST90-C1,"Лобзик PST90-C1 МАСТЕР (900Вт,90мм,0-3000 ход/мин,3 реж,быстрозаж, лазер, LED-подсветка) P.I.T",4195,3920,5,2.72,0.005,6971810444145
172,,PST70-C1,"Лобзик PST70-C1 МАСТЕР (700Вт,70мм,0-3000 ход/мин,3 режима,быстрозаж) P.I.T",3150,2940,5,2.54,0.005,6971810444138
173,,PST110-C,"Лобзик PST110-C (750Вт,110мм,1000-3100 ход/мин,3 реж,быстрозаж)",6610,6175,5,3.4,0.007,6926619713749
174,,,Пилы электрические,,,,,,
175,,,Пила стационарная,,,,,,
176,,PTS200-C,"Пила стационарная электрическая PTS200-C МАСТЕР P.I.T. (850Вт,диск 200*16*2,4,стол 500*335,угол 45°)",7210,6735,0,11.16,0.046,6971810440956
177,,,Плиткорез,,,,,,
178,,PTC180-C,"Плиткорез PTC180-C МАСТЕР (650Вт, 180*22,2*22, 2950об/мин)",6050,5650,0,8.58,0.025,6971810440949
179,,,Машина отрезная по металлу,,,,,,
180,,PCM355-C1,"Пила отрезная по металлу PCM355-C1 МАСТЕР (2500Вт.,355мм.диск,3800об/мин,ременный привод,220В)",13265,12395,0,17.5,0.074,6971810442080
181,,PCM355-C,"Пила отрезная по металлу PCM355-C МАСТЕР (2400Вт.,355мм.диск,3800об/мин,прямой привод,220В)",9690,9055,0,13.36,0.061,6971810440697
182,,PCM355-C2,"Пила отрезная по металлу PCM355-C2(2600Вт,355мм диск,3800об/мин,прямой привод,220В)",0,0,0,0,0,
183,,,Пила дисковая,,,,,,
184,,PKS200-C,"Пила циркулярная PKS200-C P.I.T МАСТЕР(2000Вт, 200диск, 5500 об/мин, глуб пр-ла 65мм, стац-е крепл.)",8725,8150,2,7.4,0.019,6971810440666
185,,PKS185-C2,"Пила циркулярная PKS185-C2 МАСТЕР (1300Вт, 5000 об/мин. глубина пропила 60мм) P.I.T ( 4шт.)",5105,4770,4,4.26,0.014,6971810440642
186,,PKS185-D1,"Пила циркулярная PKS185-D1 СТАНДАРТ P.I.T (1250Вт, 4800 об/мин, глубина пропила 60мм)",4365,4075,4,4.22,0.012,6971810442134
187,,PKS115-C,"Пила циркулярная по камню PKS115-C (1400Вт, диск 115мм, 13000об/мин, гл. реза 0-33мм)",0,0,0,0,0,
188,,PKS185-C4,"Пила циркулярная PKS185-C4(1200Вт, 5500 об/мин, диск 185 мм, глубина пропила 47/61мм)",0,0,0,0,0,
189,,PKS235-C,"Пила циркулярная PKS235-C(2200Вт, 4500 об/мин, диск 235 мм, глубина пропила 76мм)",0,0,0,0,0,
190,,PKS165-C,"Пила циркулярная PKS165-C(1200Вт, 5500 об/мин, диск 165 мм,глубина пропила 53мм)",0,0,0,0,0,
191,,PKS185-C3,"Пила циркулярная PKS185-C3(1400Вт, 5500 об/мин, диск 185 мм, глубина пропила 60мм)",0,0,0,0,0,
192,,,Пила сабельная,,,,,,
193,,PSA1200-C,"Пила сабельная PSA1200-C МАСТЕР (1200Вт, съем-е креп-е,эл-я рег-ка скор-ти, пилка по дереву, метал)",6390,5970,4,3.78,0.011,6971810440772
194,,PSA115-C,"Пила сабельная PSA115-C МАСТЕР (980Вт, съем-е креп-е,эл-я рег-ка скор-ти, пилка по дереву, метал)",5365,5010,4,2.9,0.007,6971810441328
195,,PSA1200-C1,"Пила сабельная PSA1200-C1 (1200Вт, поворот рукоят. съем креп-е,эл-я рег-ка скор-ти, пилки дер/метал)",6410,5990,0,0,0,
196,,PSA115-C1,"Пила сабельная PSA115-C1 (1000Вт, 0-2800об/мин,поворот рукоятка,ход20мм, съем креп, пилки дер/метал)",5110,4775,0,0,0,
197,,,Пила цепная,,,,,,
198,,PKE405-C4,"Пила цепная электрическая PKE405-C4 МАСТЕР (1800Вт, 405мм, 4500об/мин, автоматическая подача масла)",5985,5590,4,5.84,0.021,6971810441373
199,,PKE405-D1,"Пила цепная электрическая PKE405-D1 СТАНДАРТ (1600Вт, 405мм, 5000об/мин,упрощенная натяжка цепи)",4925,4600,4,5.04,0.016,6971810440710
200,,PKE405-C7,"Пила цепная электрическая PKE405-C7 (2400Вт, 405мм, 8500об/мин, автоматическая подача масла)",8090,7560,2,6.12,0.026,6926619727548
201,,PKE405-C6,"Пила цепная электрическая PKE405-C6 (2000Вт, 405мм, 8500об/мин, автоматическая подача масла)",7790,7280,2,5.92,0.026,6926619727531
202,,PKE405-C5,"Пила цепная электрическая PKE405-C5 (2000Вт,405мм,инд.ур-ня масла,прорез.ручка,пред.муф)",7520,7025,0,6.68,0.031,
203,,,Пила торцовочная,,,,,,
204,,PCM255-C,"Пила торцовочная PCM255-C МАСТЕР (2000Вт.,255мм.диск,4800об/мин,220В, без диска) P.I.T",14635,13675,0,14.4,0.11,6971810440673
205,,PCM255-C2,"Пила торцовочная PCM255-C2 (1600Вт, 4600об\мин,255мм.диск,220В, С ПРОТЯГОМ) P.I.T",18915,17675,0,11.6,0.152,6971810442073
206,,PCM255-C3,"Пила торцовочная PCM255-C3 (2000Вт,3200/4500об/мин,255мм, ПИЛЕНИЕ ДЕРЕВА/МЕТАЛЛА, С ПРОТЯГОМ) P.I.T.",20140,18820,0,17.4,0.158,6926619713701
207,,,ПИЛА PMS89-C,,,,,,
208,,PMS89-MB,"Угловая направляющая для минипилы PMS 89-MB (струбцина, регулировка угла до 60гр.)",2490,2325,0,1.98,0.002,6971810441663
209,,PMS89-TS,"Направляющая шина для минипилы PMS 89-TS (3 шт, общая длина 125 см, 2 струбцины)",2125,1985,0,1.65,0.007,6971810441670
210,,PMS89-C,"Мини-пила циркулярная PMS89-C (600Вт, 5500об/мин, диск 89мм, глуб. проп 28,5мм, 3пиль.диска, упоры)",7465,6975,4,4.13,0.013,6971810441311
211,,,Ножницы по металлу,,,,,,
212,,PDJ250-C,"Ножницы электрические по металлу PDJ250-C (500Вт, 2600ход/мин, толщина реза стали 1,6-2,5мм)",5800,5420,0,2.64,0.005,
213,,,Молоток отбойный,,,,,,
214,,GSH65-D,"Молоток отбойный GSH65-D СТАНДАРТ P.I.T. (45Дж,1800 вт,пика, зубило, залить масло п/экспл, HEX 30мм)",18280,17080,0,22.32,0.038,6971810440475
215,,GSH25-C,"Молоток отбойный GSH25-C МАСТЕР P.I.T. (20дж,1500Вт, хвостовик SDS-MAX) 2 шт",12650,11820,2,8.86,0.018,6971810444060
216,,GSH65-C2,"Молоток отбойный GSH65-C2 МАСТЕР P.I.T. (50дж,1800Вт, хвостовик HEX 30мм) ",21745,20320,0,22.44,0.047,6971810444077
217,,GSH90-C2,"Молоток отбойный GSH90-C2 МАСТЕР P.I.T. (75дж,2500Вт, хвостовик HEX 30мм) ",27235,25450,0,24.4,0.056,6931810444095
218,,GSH65-C3,"Молоток отбойный GSH65-C3 МАСТЕР P.I.T. (65дж,2000Вт, хвостовик HEX 30мм) ",25815,24125,0,24.42,0.053,6971810444084
219,,GSH65-C5,"Молоток отбойный GSH65-C5 P.I.T. (45Дж,1800 вт,пика, зубило, залить масло п/экспл, HEX 30мм)",0,0,0,22.32,0.038,
220,,GSH65-C4,"Молоток отбойный GSH65-C4 P.I.T. (42Дж,1700Вт, 1850уд/мин, залить масло п/экспл, HEX 30мм)",15980,14930,0,20.69,0.038,6926619728576
221,,GSH25-C1,"Молоток отбойный GSH25-C1 (20дж,1500Вт, 12 полож угла установ зубила, хвостовик SDS-MAX)",12890,12045,0,9.08,0.021,6926619728330
222,,,Лазерная измерительная техника,,,,,,
223,,,Лазерные дальномеры,,,,,,
224,,PLD-60A,"Лазерный дальномер PLD-60A (дальность 60м, авто откл,  время измерения 0,1-3с, питание ААА) 24 шт",2795,2610,24,0.18,0,6971810444237
225,,,Мойки высокого давления,,,,,,
226,,PHP160-C,"Мойка высокого давления PHP160-C (2800Вт, 160бар, 660л/час, шланг 10м, на колесах, рег давления)",57435,53675,0,36.4,0.131,6971810444329
227,,PHP130-C,"Мойка высокого давления PHP130-C (1800Вт, 130бар, 420л/час, шланг 6м, на колесах)",8475,7920,0,7.52,0.045,6971810444305
228,,PHP120-C,"Мойка высокого давления PHP120-C (1500Вт, 120бар, 330л/час, шланг 5м)",6975,6515,0,6.28,0.031,6971810444299
229,,PHP170-C1,"Мойка высокого давления PHP170-C1 (2200Вт, 170бар, 450л/час, колеса, бачок д/пены)",9670,9035,0,0,0,6926619728712
230,,PHP170-C,"Мойка высокого давления PHP170-C (2200Вт, 170бар, 450л/час, колеса, бачок д/пены)",9230,8625,1,9.7,0.064,6926619728705
231,,PHP140-C1,"Мойка высокого давления PHP140-C1 (1800Вт, 140бар, 420л/час, колеса, бачок д/пены)",7370,6885,1,7.5,0.041,6926619728699
232,,PHP120-C1,"Мойка высокого давления PHP120-C1 (1600Вт, 120бар, 390л/час)",5630,5260,1,5.7,0.025,6926619728682
233,,,Компрессоры,,,,,,
234,,,Компрессоры безмасляные,,,,,,
235,,PAC24-C1,"Компрессор PAC24-C1 P.I.T. (0,6кВт, 110 л/мин, 8бар, 24л, 2 цил, 1 вых, пр.привод, безмасл)",11710,10940,0,18.3,0.071,6971810444978
236,,,Компрессоры масляные,,,,,,
237,,PAC50-C,"Компрессор PAC50-C (1,8кВт, 2,5лс, 206 л/мин, 50л, 2 выхода, европереходник, масляный) P.I.T. ",16275,15210,0,26.44,0.142,6971810441755
238,,PAC24-C,"Компрессор PAC24-C (1,5кВт, 2,2лс, 206 л/мин, 24л, 1 выход, европереходник, масляный) P.I.T. ",11400,10650,0,18.88,0.099,6971810441748
239,,"PAC016003-2,5/50","Компрессор PAC 016003-2,5/50 P.I.T.(2,5кВт, 3,4лс, 350 л/мин, 50л, 2 цил, 2 вых, евро, пр.привод)",26075,24365,0,39.66,0.146,6971810442240
240,,"PAC016002-3,3/100","Компрессор PAC 016002-3,3/100 P.I.T. (3,3кВт, 370л/мин,100л,2 цил-ра,2 вых,2 ман, маслян. ремен.)",41165,38470,0,70.35,0.34,6971810442233
241,,"PAC016001-2,5/100","Компрессор PAC 016001-2,5/100 (2,5кВт, 3,4лс, 330 л/мин, 100л, 2 цил, 2 вых, ев,масл. рем) P.I.T. ",41840,39100,0,64.55,0.338,6971810442226
242,,PAC100-C2,"Компрессор PAC100-C2(3,3кВт, 370л/мин,100л,2 цил-ра,2 вых,2 ман, маслян. ремен.) P.I.T.",0,0,0,0,0,
243,,PAC100-C,"Компрессор PAC100-C (2,5кВт, 3,4лс, 330 л/мин, 100л, 2 цил, 2 вых, ев,масл. рем) P.I.T. ",0,0,0,0,0,
244,,,Краскораспылители,,,,,,
245,,PSG3020-C,"Краскораспылитель PSG3020-C МАСТЕР (550Вт,700мл/мин,сопло 2,5 мм,бачок 800 мл,SDS разъем) P.I.T(4шт)",3775,3525,4,1.76,0.007,6971810440604
246,,PTS10-D,"Набор пневмоинструмента PTS10-D СТАНДАРТ (Краск,пис-т д/подкачки,продув,промыв и смазки,5м шланг)",2540,2370,10,1.92,0.01,6971810441533
247,,PSG3022-C,"Краскораспылитель PSG3022-C (600 Вт, 1000мл/мин, емкость 900мл, возд. шланг 1,8м)",4885,4565,0,3.12,0.021,
248,,PSG3021-C,"Краскораспылитель PSG3021-C (500 Вт, 800мл/мин, емкость 900мл)",4215,3935,0,1.88,0.01,
249,,,Перфораторы,,,,,,
250,,PBH24-C1,"Перфоратор PBH24-C1 МАСТЕР (3-реж. гор. 850Вт. 2,4дж.SDS+ пласт.кейс. Быстр-ый патрон) P.I.T",6695,6255,3,5.44,0.013,6971810440390
251,,PBH24-C,"Перфоратор PBH24-C МАСТЕР (3-реж. гор. 850Вт. 2,4дж.SDS+ пласт.кейс.) P.I.T (3шт.)",4920,4595,3,4.98,0.014,6971810440383
252,,PBH28-C,"Перфоратор PBH28-C МАСТЕР (3-реж.гор.1050Вт.3,2дж.SDS+ пласт.кейс,3 бур, пика, зуб-ло,.бур 28мм) 3шт",6430,6005,3,5.2,0.013,6971810440437
253,,PBH32-C4,"Перфоратор PBH32-C4 МАСТЕР (3-реж. верт,1500Вт,5,5 Дж,SDS+ пласт.кейс, бур 32мм, буры+смазка) 2 шт",8545,7985,2,7.64,0.02,6971810444053
254,,PBH28-C3,"Перфоратор PBH28-C3 МАСТЕР (3-реж. верт, 1400Вт. 5,5дж.SDS+ пласт.кейс, макс диам.бура 28мм)  P.I.T",8630,8065,2,7.34,0.017,6971810444046
255,,PBH26-C4,"Перфоратор PBH26-C4 МАСТЕР (3-реж. верт, 1200Вт. 4,7дж.SDS+ пласт.кейс, макс диам.бура 26мм) 4 шт",7700,7195,4,6.42,0.014,6971810444039
256,,PBH40-C2,"Перфоратор PBH40-C2 МАСТЕР (2-реж, вертик,1600 Вт, 9 Дж, SDS-MAX, алюм. корпус)",14545,13590,2,10.94,0.028,6971810444374
257,,PBH28-C5,"Перфоратор PBH28-C5 (3-реж.гор.1050Вт.3,2дж.SDS+ пласт.кейс,3 бура,зуб,макс.бур 28мм)",7175,6705,3,5.32,0.013,6926619713732
258,,PBH32-C5,"Перфоратор PBH32-C5 МАСТЕР (3-реж. верт,1500Вт, 6 Дж,SDS+ пласт.кейс, бур 32мм, буры+смазка) 2 шт",9180,8575,2,7.9,0.02,6926619712223
259,,PBH28-C4,"Перфоратор PBH28-C4 (3-реж.гор.1000Вт.3дж.SDS+ пласт.кейс,3 бура,зуб,макс.бур 28мм)",5620,5250,3,5.06,0.014,6926619713725
260,,PBH26-C5,"Перфоратор PBH26-C5 (3-реж. горизонт, 1000Вт. 3,2дж.SDS+ пласт.кейс, макс диам.бура 26мм) 3шт",5900,5510,3,4.66,0.013,6926619727388
261,,PBH24-C2,"Перфоратор PBH24-C2 (3-реж. гор. 800Вт. 1,7дж.SDS+, макс.бур 24 мм, пласт.кейс.)",4385,4095,3,4.72,0.013,6926619713718
262,,_PBH24-C,"Перфоратор PBH24-C (PROMO, 3-реж. гор. 850Вт. 2,4дж.SDS+, коробка) P.I.T (4 шт.)",4420,4130,4,3.58,0.01,6971810444824
263,,,Фены,,,,,,
264,,PHG2000-C,"Электрофен PHG 2000-C МАСТЕР (2кВт,50-600*С,три положения потока воздуха,насадки,КЕЙС ) P.I.T. 4шт.)",3385,3160,5,2.14,0.011,6971810440574
265,,PHG2000-D,"Электрофен PHG 2000-D СТАНДАРТ (2кВт, 350/600*С, 2 положения потока воздуха, насадки) (10шт.)",1500,1400,10,0.9,0.004,6971810440581
266,,PHG2001-C,"Электрофен PHG2001-C (2кВт,кейс,50-650°С,возд.поток 250-500л/мин,цифр.дисп,керам.нагр.э)",5280,4930,0,2.22,0.011,
267,,,Пылесосы,,,,,,
268,,PVC30-C,"Пылесос PVC30-C МАСТЕР (1,5кВт,3 м шланг,пыль.сбор 30л,нерж.к-с,бум.мешок, 2кВт подключаемый инст)",8705,8135,0,8.24,0.073,6971810441120
269,,PVC20-C,"Пылесос PVC20-C МАСТЕР (1,5кВт,3 м шланг,пыль.сбор 20л,нерж.к-с,бум.мешок, 2кВт подключаемый инстр)",8370,7820,0,7.6,0.068,6971810441113
270,,,Оснастка для пылесоса,,,,,,
271,,PVB-30 M,"Мешок многоразовый для пылесоса PVB-30 M (30x60 см, объем 30л, фильтр 99%, усил креп, мокр пыль)",1170,1090,0,0.18,0.002,4673728731868
272,,,Рубанки,,,,,,
273,,GHO110-C1,"Рубанок GHO110-C1 МАСТЕР (Стационар,1500Вт,16т.об/мин,110мм,г3,5мм,пар-ое строг-е,подк-е пыл.сбор)",10390,9710,2,7.52,0.018,6971810440819
274,,GHO110-C,"Рубанок GHO110-C МАСТЕР (1500Вт,16т.об/мин, 110мм, рег-ка 0-3,5мм,пар-ое строг-е,подк-е пылесбор)",9190,8585,2,5.84,0.016,6971810440802
275,,PEP006L-C2 PRO,"Рубанок PEP006L-C2 PRO(1,2кВт, гл.3,5мм, шир.110мм, 15т/об,мешок для пыли,авт-й башмак,3 v-обр.паза)",7045,6580,2,5.79,0.016,6971810441724
276,,PEP006L-D1,"Рубанок PEP006L-D1 (600Вт, гл.2мм, шир.82мм, 17т/об, мешок для пыли, авт-й башмак, 3 v-образн.паза)",3465,3235,4,3.25,0.009,6971810441717
277,,PEP82-C,"Рубанок PEP82-C (650Вт,16800 об/мин, 82мм, рег-ка 0-2мм, пар-ое строг-е,подк-е пылесбор)",3995,3730,6,3.06,0.009,6926619723809
278,,,Садовая техника,,,,,,
279,,, Ремни для бензо- и электрокос,,,,,,
280,,AGDP01-0003,"Ремень для триммера AGDP01-0003 (энер. погл. набедр и мягк. поролон. наплеч. накладка, 50 шт в уп)",900,839,20,0.72,0.006,6926619728309
281,,AGDP01-0002,"Ремень для триммера AGDP01-0002 (энер.погл.набедр и мягк. напл. накладк с расш.на спине, 20 шт в уп)",1020,949,20,0.72,0.006,6926619728293
282,,AGDP01-0001,"Ремень для триммера AGDP01-0001 (энер. погл. набедр и мягк. дугообр. наплечная накладка, 20 шт в уп)",760,706,20,0.72,0.006,6926619728286
283,,,Газонокосилки,,,,,,
284,,PLM40-C,"Газонокосилка электрическая PLM 40-C (2000Вт, диаметр кошения 400мм, травосборник 35л)",10255,9580,0,12,0.099,6971810441199
285,,PLM37-C,"Газонокосилка электрическая PLM 37-C (1600Вт, диаметр кошения 370мм, травосборник 35л)",9570,8940,0,11.5,0.084,6971810441182
286,,PLM51-C2,"Бензиновая газонокосилка PLM51-C2 ( самоход. 4Т двиг.3,5 л.с, диам. кош 508мм,высот кош 25-75мм,60л)",29395,27470,0,35.76,0.224,6971810443261
287,,PLM32-C,"Газонокосилка электрическая PLM32-C (1200Вт, диаметр кош 320мм, травосборник 30л, 3 уровня высоты)",6990,6530,0,8.54,0.061,6971810444985
288,,,Электрокосы,,,,,,
289,,PTR 2000-EL,"Электротриммер PTR 2000-EL (2000Вт,ранцевый ремень, велосипед. рукоятка, разъемная штанга,нож+леска)",8560,8000,1,7.4,0.025,6971810441564
290,,PTR 1500-EL,"Электротриммер PTR 1500-EL (1500Вт,наплеч. ремень, велосипед. рукоятка, разъемная штанга, нож+леска)",7635,7135,1,6.6,0.025,6971810441557
291,,PTR 750-EL,"Электротриммер PTR 750-EL (750Вт, телескопическая штанга, леска)",4845,4525,2,3.5,0.025,6971810441540
292,,P 51021,"Электротриммер P51021 (1600Вт, наплечный ремень, разъемная штанга, нож+леска)",7600,7100,0,6.3,0.025,6971810443230
293,,PTR1750-EL,"Электротриммер PTR1750-EL (1700Вт, скаш.420мм,напл. ремень, велорукоятка, разъем.штанга, нож+леска)",7125,6655,0,6.6,0.026,6926619728521
294,,PTR1250-EL,"Электротриммер PTR1250-EL (1600Вт, скаш. 420 мм, 6800об/мин, нап.ремень, разъем. штанга, нож+леска)",6830,6380,0,5.96,0.024,6926619728514
295,,PTR1000-EL,"Электротриммер PTR1000-EL (750Вт, телескоп. штанга, ширина скоса 300мм, 10000об/мин)",4785,4470,4,2.82,0.026,6926619727517
296,,,Бензокосы,,,,,,
297,,P 38-C,"Бензотриммер P 38-С (1,7л.с,38 см3, 4-такт, диск 40-зуб, ранцевый ремень, неразъем.штанга с редук.)",12650,11820,1,10.8,0.024,6971810441380
298,,P75103 Мастер,"Бензотриммер P75103 Мастер (3,2л.с,56 см3, 2-такт, диск 40-зуб, ранцевый ремень, неразъемная штанга)",8940,8355,1,9.2,0.027,6971810441366
299,,P75103А,"Бензотриммер P75103A Стандарт (2,8л.с,56 см3, 2-такт, диск 3-зуб, наплеч. ремень,разъемн. штанга)",8325,7780,1,8.42,0.023,6971810442523
300,,P73102 Мастер,"Бензотриммер P73102 Мастер (2,3л.с,52 см3, 2-такт, диск 40-зуб, ранцевый ремень, неразъемная штанга)",9285,8675,1,8.06,0.027,6971810441359
301,,P73102A,"Бензотриммер P73102A Стандарт (2,3л.с,52 см3, 2-такт, диск 3-зуб, наплеч. ремень,неразъемн. штанга)",7550,7055,1,8.76,0.025,6971810441731
302,,,Воздуходувки,,,,,,
303,,PBO750-C,"Воздуходувка электрическая PBO750-C (750 Вт, произв-ть 2,8 м³/мин, 0-19300 об/мин, функция пылесоса)",2300,2145,6,1.7,0.009,6926619728194
304,,,Кусторезы,,,,,,
305,,PHE550-C,"Кусторез электрический PHE550-C (600Вт, 1500ход/мин, длина ножей 550мм)",5360,5005,4,3.48,0.037,6926619713763
306,,PHE450-C,"Кусторез электрический PHE450-C (500Вт, 1700ход/мин, длина ножей 450мм)",4220,3940,4,2.86,0.022,6926619713756
307,,,Вибраторы для бетона,,,,,,
308,,P31045,"Вибратор электрический стационарный для бетона P31045 (1500 Вт, 4 м длина булавы) P.I.T.",11065,10340,0,18.28,0.029,6971810441175
309,,P31035,"Вибратор электрический ручной для бетона P31035 (1100 вт, 1,5м длина булавы) P.I.T.",5260,4915,5,6.42,0.005,6971810441168
310,,PMV50-C1,"Вибратор электрический стационарный для бетона PMV50-C1 (2300 Вт, без булавы)",11290,10550,2,7.24,0.02,6926619727524
311,,PMV50-C,"Вибратор электрический стационарный для бетона PMV50-C (1500 Вт, 4 м длина булавы)",10650,9950,0,10.28,0.02,6926619713190
312,,,Сварочное оборудование,,,,,,
313,,,Инверторы сварочные,,,,,,
314,,PMI300-D,"Сварочный инвертор PMI300-D IGBT  P.I.T.(300 А,ПВ-60,1,6-5 мм,от пониж.170В, 5.2кВт,гор.старт,диспл)",7625,7125,2,6.6,0.023,6971810441045
315,,PMI250-D,"Сварочный инвертор PMI250-D IGBT  P.I.T.(250 А,ПВ-60,1,6-4 мм,от пониженного 170,гор.старт,дисплей)",6130,5725,2,5.2,0.018,6971810441038
316,,PMI250-C,"Сварочный инвертор PMI250-C IGBT (250 А,ПВ-45,1,6-4 мм,6,8квт, от пон нап. 190,гор старт) P.I.T.",9765,9125,0,6,0.026,6926619727432
317,,PMI220-C1,"Сварочный инвертор PMI220-C1 IGBT (220 А,ПВ-60,1,6-3.2 мм,5,8квт, от пон нап. 190,гор старт) P.I.T.",8835,8255,0,5.5,0.02,6926619727425
318,,PMI220-C,"Сварочный инвертор PMI220-C IGBT (220 А,ПВ-30,1,6-3.2 мм,5,8квт, от пониж нап. 190,гор старт) P.I.T.",6555,6125,2,4,0.017,6926619727418
319,,PMI180-C,"Сварочный инвертор PMI180-C IGBT (180 А,ПВ-60,1,6-3.2 мм,4,8квт, от пониж нап. 190,гор старт) P.I.T.",5455,5095,3,4.3,0.012,6926619727401
320,,PMI140-C,"Сварочный инвертор PMI140-C IGBT (140 А,ПВ-60,1,6-3.2 мм,4квт, от пониж напряж 190,гор старт) P.I.T.",5250,4905,4,3.25,0.009,6926619727395
321,,,Полуавтоматы сварочные,,,,,,
322,,PMIG220-C,"Сварочный полуавтомат PMIG220-C (220А,ПВ-60,MMA 2,5-5мм, 6,5кВт, MIG 0,6-0,8мм,5,9кВт)",26225,24505,0,15.48,0.062,6971810441076
323,,PMIG205-C,"Сварочный полуавтомат PMIG205-С (205А,ПВ-60,MMA 2,5-5мм, 6,8кВт; MIG 0,6-0,8мм, 5,4кВт)",19545,18265,0,13.76,0.062,6971810442219
324,,PMIG165-C,"Сварочный полуавтомат PMIG165-С (165А,ПВ-60,MMA 2,5-5мм, 5,2кВт; MIG 0,6-0,8мм, 4,3кВт)",14930,13950,0,10.58,0.057,6971810442202
325,,PMAG200-C,"Сварочный полуавтомат PMAG200-С (200А,ПВ-60,MMA 1,6-4.0мм, 5.8кВт, MIG 0,8-1.0мм, TIG 1.2-1.6-2.0мм)",22335,20870,0,13.5,0.058,6926619727487
326,,PMIG220-C1,"Сварочный полуавтомат PMIG220-С1 (220А,ПВ-60,MMA 1,6-5мм, 7,5кВт, MIG 0,8-1,0мм,)",26545,24805,0,13.5,0.058,6926619727470
327,,PMIG205-C1,"Сварочный полуавтомат PMIG205-С1 (205А,ПВ-60,MMA 1,6-4мм, 5,8кВт, MIG 0,8-1,0мм,)",23625,22075,0,11,0.058,6926619727463
328,,PMIG165-C1,"Сварочный полуавтомат PMIG165-С1 (165А,ПВ-60,MMA 1,6-4мм, 4,8кВт, MIG 0,8-1,0мм,)",18515,17300,0,12.04,0.058,6926619727456
329,,PMIG145-C1,"Сварочный полуавтомат PMIG145-С1 (145А,ПВ-60,MMA 1,6-4мм, 4,0кВт, MIG 0,8-1,0мм,)",15185,14190,0,8.88,0.038,6926619727449
330,,,Плазморезы,,,,,,
331,,PCUT40-C,"Плазморез PCUT40-C (40А,макс толщ10мм,6,2кВт, контакт поджиг, раб давл0,4-0,6МПа)",23355,21825,0,11.5,0.042,6926619727494
332,,,Аппараты аргонодуговой сварки,,,,,,
333,,PTIG200-C,"Аппарат аргонодуговой сварки PTIG200-C (200 А,ПВ-45, MMA 1,6-4 мм,4.2квт, TIG 1.2-1.6-2.0) P.I.T.",18240,17045,0,9.08,0.043,6926619727500
334,,,Сварка пластиковых труб,,,,,,
335,,PWM43-C1,"Паяльник эл. для пл/труб  PWM43-C1 МАСТЕР (1,2кВт,t0-300°,нас.20,25,32,40мм,отв,кл,мет.кейс,стойка)",1745,1630,5,2.1,0.006,6971810440987
336,,PWM32-D,"Паяльник эл. для пл/труб  PWM32-D МАСТЕР (800Вт, насадки 20, 25, 32, кейс, подставка, отвертка)",1255,1170,10,1.44,0.005,6971810441410
337,,PWM63-C,"Паяльник эл. для пл/труб  PWM63-C МАСТЕР(2кВт,нас.20,25,32,40,50,63мм,перч,рул,ножн,отв,кл,мет.к-с)",4075,3805,3,4.78,0.013,6971810440994
338,,,Зарядные и пусковые устройства,,,,,,
339,,,ЗУ/ПЗУ трансформаторного типа,,,,,,
340,,PZU50-C1,"Пуско-зарядное устройство PZU50-C1 МАСТЕР (12/24Вток.зар20/30А m ток45А ток130А,950Вт/6,4кВт)P.I.T.",7420,6930,1,10.4,0.018,6971810442462
341,,PZU450-C,"Пуско-зарядное устройство PZU450-C МАСТЕР (12/24В ток зар40/50,mах ток300А мощн1,5кВт/10кВт) P.I.T.",13090,12230,1,15.4,0.065,6971810442479
342,,PZU650-C,"Пуско-зарядное устройство PZU650-C МАСТЕР (12/24В,ток зар60/70, ток100, ток480А,2,2кВт/12кВт)P.I.T.",17305,16170,1,24.7,0.058,6971810442486
343,,PZU20-C1,"Зарядное устройство PZU20-C1 МАСТЕР (12/24В,ток зар.8/12А,mах ток20А,450Вт,емк.акк от75-120) P.I.T.",4415,4125,1,5.66,0.011,6971810442431
344,,PZU40-C1,"Пуско-зарядное устройство PZU40-C1МАСТЕР(12/24В,ток зар18/25А, ток38А,мощ850Вт/5кВт п.ток120) P.I.T.",6990,6530,1,9.78,0.02,6971810442455
345,,PZU30-C1,"Зарядное устройство PZU30-C1МАСТЕР (12/24В,ток зар15/20А,mах ток27А,700Вт,емк.акк от120-270)P.I.T.",5935,5545,1,7.6,0.015,6971810442448
346,,PZU10-C1,"Зарядное устройство PZU10-C1МАСТЕР (6/12В,ток зар.5/8,mах ток10А,.250Вт,емк.зар.акк до 75А/ч) P.I.T.",4235,3955,1,5.36,0.011,6971810442424
347,,,ЗУ/ПЗУ инверторного типа,,,,,,
