0,,Артикул,Наименование,"РРЦ Wildberries, руб","РРЦ, руб","Кол-во в упаковке, шт","Вес, кг","Объем, м3",Штрихкод
39,,,Дрели и гайковерты,,,,,,
40,,PSB20H-13A,"Дрель ударная аккумуляторная PSB20H-13A SOLO (20В, 48Нм, метал патрон 13мм, 2ск,коробка)",3785,3535,8,1.74,0.004,6971810444442
41,,PSB20H-13B,"Дрель ударная бесщеточная аккумуляторная PSB20H-13B SOLO (20В, 75Нм, метал патр13мм, 2ск, коробка)",6165,5760,8,1.88,0.003,6971810444459
42,,PIW20H-300A,"Гайковерт ударный бесщеточный аккум PIW20H-300A SOLO (20В, 300Нм,квадрат 1/2"" и шестигран,коробка)",4910,4585,8,1.28,0.003,6971810444527
43,,PSB20H-10B,"Дрель ударная бесщеточная аккумуляторная PSB20H-10B SOLO (20В, 38Нм, патр10мм, 2ск, коробка)",4340,4055,10,1.26,0.003,6971810444435
44,,PBM20H-10A,"Дрель аккумуляторная PBM20H-10A SOLO (20В, 28Нм, патрон 10 мм, 2ск, коробка)",2505,2340,10,1.2,0.003,6971810444428
45,,PIW20H-300B/1,"Гайковерт ударный бесщеточный аккум PIW20H-300B/1 (20В, 300Нм,квадрат 1/2"" и шестигран,2АЧ,ЗУ,кейс)",6975,6515,0,0,0,
46,,PBM20H-10B/1,"Дрель аккумуляторная PBM20H-10B/1(20В, 30Нм, патрон 10 мм, 2ск,2АЧ,ЗУ,кейс)",0,0,0,0,0,
47,,PSB20H-13C/1,"Дрель бесщет аккумуляторная PSB20H-13C/1 X-DRIVER(20В, 110Нм, мет патрон 13мм, 2ск,кор,2АЧ,ЗУ)",10680,9980,0,0,0,6926619728613
48,,PBM12K-10B/1,"Дрель бесщеточная аккумуляторная PBM12K-10B/1 X-DRIVER (12В,35Нм, патр10 мм, 2ск, АКБ2Ач,ЗУ,кейс)",0,0,0,0,0,
49,,PBM12K-10A,"Дрель аккумуляторная PBM12K-10A X-DRIVER SOLO (12В,25Нм, патр10 мм, 2ск)",0,0,0,0,0,
50,,PBM12K-10A/1,"Дрель аккумуляторная PBM12K-10A/1 X-DRIVER (12В,25Нм, патр10 мм, 2ск, АКБ2Ач,ЗУ,кейс)",0,0,0,1.5,0.001,
51,,PSB20H-13D/1,"Дрель ударная бесщет аккумуляторная PSB20H-13D/1 X-DRIVER (20В,75Нм, патр13мм, 2ск,АКБ 2АЧ,ЗУ, кейс)",10215,9545,0,0,0,6926619728620
52,,PSB20H-10C/1,"Дрель ударная бесщет аккумуляторная PSB20H-10C/1 X-DRIVER (20В,40Нм, патр10 мм, 2ск, АКБ2Ач,ЗУ,кейс)",8190,7650,0,0,0,
